,outtime,scores,one,two
106,2019-04-24 03:28:00,50,2019-04-24,03:28:00
107,2019-04-27 19:57:00,50,2019-04-27,19:57:00
108,2019-04-24 06:31:00,50,2019-04-24,06:31:00
109,2019-04-24 06:58:00,50,2019-04-24,06:58:00
110,2019-04-24 22:44:00,50,2019-04-24,22:44:00
111,2019-04-24 03:58:00,50,2019-04-24,03:58:00
112,2019-04-24 20:05:00,50,2019-04-24,20:05:00
113,2019-04-24 15:09:00,40,2019-04-24,15:09:00
114,2019-04-24 20:28:00,40,2019-04-24,20:28:00
115,2019-04-24 12:45:00,50,2019-04-24,12:45:00
116,2019-04-27 10:49:00,40,2019-04-27,10:49:00
117,2019-04-24 05:37:00,50,2019-04-24,05:37:00
118,2019-04-26 01:33:00,40,2019-04-26,01:33:00
119,2019-04-24 16:08:00,40,2019-04-24,16:08:00
120,2019-04-24 15:42:00,50,2019-04-24,15:42:00
121,2019-04-26 12:38:00,40,2019-04-26,12:38:00
122,2019-04-24 22:14:00,50,2019-04-24,22:14:00
123,2019-04-27 17:20:00,50,2019-04-27,17:20:00
124,2019-04-24 08:37:00,40,2019-04-24,08:37:00
125,2019-04-24 22:47:00,50,2019-04-24,22:47:00
126,2019-04-24 04:27:00,40,2019-04-24,04:27:00
127,2019-04-24 03:00:00,50,2019-04-24,03:00:00
128,2019-04-25 00:49:00,40,2019-04-25,00:49:00
129,2019-04-24 01:04:00,50,2019-04-24,01:04:00
130,2019-04-24 02:56:00,50,2019-04-24,02:56:00
131,2019-04-24 14:49:00,40,2019-04-24,14:49:00
132,2019-05-01 04:18:00,50,2019-05-01,04:18:00
133,2019-04-24 15:53:00,50,2019-04-24,15:53:00
134,2019-04-24 15:24:00,40,2019-04-24,15:24:00
135,2019-04-25 01:49:00,50,2019-04-25,01:49:00
136,2019-04-27 02:14:00,50,2019-04-27,02:14:00
137,2019-04-24 03:27:00,40,2019-04-24,03:27:00
138,2019-04-24 02:55:00,40,2019-04-24,02:55:00
139,2019-04-24 12:15:00,40,2019-04-24,12:15:00
140,2019-04-25 01:18:00,50,2019-04-25,01:18:00
141,2019-04-24 03:22:00,50,2019-04-24,03:22:00
142,2019-04-24 03:01:00,40,2019-04-24,03:01:00
143,2019-04-25 18:07:00,50,2019-04-25,18:07:00
144,2019-04-24 03:36:00,50,2019-04-24,03:36:00
145,2019-04-24 23:00:00,50,2019-04-24,23:00:00
146,2019-05-01 07:55:00,50,2019-05-01,07:55:00
147,2019-05-05 00:21:00,50,2019-05-05,00:21:00
148,2019-04-26 00:25:00,50,2019-04-26,00:25:00
149,2019-04-24 10:55:00,50,2019-04-24,10:55:00
150,2019-04-27 23:14:00,50,2019-04-27,23:14:00
151,2019-04-25 13:32:00,50,2019-04-25,13:32:00
152,2019-04-24 12:08:00,50,2019-04-24,12:08:00
153,2019-04-24 23:20:00,50,2019-04-24,23:20:00
154,2019-04-24 16:34:00,40,2019-04-24,16:34:00
155,2019-04-24 13:08:00,50,2019-04-24,13:08:00
156,2019-04-28 06:10:00,40,2019-04-28,06:10:00
157,2019-04-24 17:51:00,40,2019-04-24,17:51:00
158,2019-04-24 14:07:00,40,2019-04-24,14:07:00
159,2019-04-24 14:23:00,40,2019-04-24,14:23:00
160,2019-04-24 13:31:00,40,2019-04-24,13:31:00
161,2019-04-24 09:18:00,50,2019-04-24,09:18:00
162,2019-04-24 18:31:00,50,2019-04-24,18:31:00
163,2019-04-24 03:14:00,50,2019-04-24,03:14:00
164,2019-04-27 10:27:00,40,2019-04-27,10:27:00
165,2019-04-24 20:11:00,40,2019-04-24,20:11:00
166,2019-04-24 02:58:00,50,2019-04-24,02:58:00
167,2019-04-24 03:45:00,50,2019-04-24,03:45:00
168,2019-04-27 18:17:00,40,2019-04-27,18:17:00
169,2019-04-27 18:45:00,40,2019-04-27,18:45:00
170,2019-04-27 06:50:00,50,2019-04-27,06:50:00
171,2019-05-09 13:52:00,40,2019-05-09,13:52:00
172,2019-04-24 03:09:00,50,2019-04-24,03:09:00
