name,AQI
上海市,128.82
云南省,90.27
内蒙古自治区,62.71
北京市,207.89
台湾省,74.67
吉林省,118.18
四川省,86
天津市,261.75
宁夏回族自治区,94.7
安徽省,177.4
山东省,268.5
山西省,148.68
广东省,99.05
广西壮族自治区,123.87
新疆维吾尔自治区,82
江苏省,195.47
江西省,125.45
河北省,246.08
河南省,275.9
浙江省,134.62
海南省,84.61
湖北省,179.4
湖南省,170.97
甘肃省,75.8
福建省,75.56
西藏自治区,104.89
贵州省,134.97
辽宁省,151.35
重庆市,158.67
陕西省,121.1
青海省,94.52
香港特别行政区,98.13
黑龙江省,61.04
