,jointime,outtime,scores,one,two
375,2017-01-30,2019-04-24 17:11:18,30,2019-04-24,17:11:18
376,2007-12-27,2019-05-22 14:51:51,30,2019-05-22,14:51:51
377,2011-02-10,2019-04-30 01:22:02,30,2019-04-30,01:22:02
378,2010-08-02,2019-04-24 03:26:20,30,2019-04-24,03:26:20
379,2013-08-14,2019-04-27 22:44:04,30,2019-04-27,22:44:04
380,2011-02-04,2019-04-27 18:13:00,30,2019-04-27,18:13:00
381,2010-12-02,2019-04-25 08:12:29,30,2019-04-25,08:12:29
382,2007-04-29,2019-04-28 16:58:38,30,2019-04-28,16:58:38
383,2006-05-04,2019-04-24 12:06:55,30,2019-04-24,12:06:55
384,2017-07-06,2019-05-02 15:36:20,30,2019-05-02,15:36:20
385,2018-08-02,2019-04-24 17:56:30,30,2019-04-24,17:56:30
386,2009-06-25,2019-04-25 09:30:06,30,2019-04-25,09:30:06
387,2015-03-06,2019-04-27 16:02:49,30,2019-04-27,16:02:49
388,2009-01-07,2019-04-27 22:42:15,30,2019-04-27,22:42:15
389,2008-05-02,2019-04-28 00:27:26,30,2019-04-28,00:27:26
390,2010-09-30,2019-05-28 01:42:59,30,2019-05-28,01:42:59
391,2007-10-06,2019-05-04 21:02:59,30,2019-05-04,21:02:59
392,2007-07-01,2019-04-28 10:52:28,30,2019-04-28,10:52:28
393,2017-07-26,2019-04-24 12:40:40,30,2019-04-24,12:40:40
394,2010-02-06,2019-04-27 17:14:50,30,2019-04-27,17:14:50
395,2012-10-13,2019-05-06 22:46:16,30,2019-05-06,22:46:16
396,2008-12-16,2019-04-27 22:37:32,30,2019-04-27,22:37:32
397,2014-06-02,2019-04-25 19:21:59,30,2019-04-25,19:21:59
398,2007-04-29,2019-05-01 12:07:39,30,2019-05-01,12:07:39
399,2007-09-23,2019-04-27 21:55:00,30,2019-04-27,21:55:00
400,2017-12-26,2019-04-29 17:35:34,30,2019-04-29,17:35:34
401,2008-05-20,2019-04-27 01:47:15,30,2019-04-27,01:47:15
402,2016-05-28,2019-04-27 17:12:10,30,2019-04-27,17:12:10
403,2007-04-12,2019-04-25 22:29:15,30,2019-04-25,22:29:15
404,2011-09-12,2019-04-24 23:42:04,30,2019-04-24,23:42:04
405,2010-02-17,2019-04-25 18:43:18,30,2019-04-25,18:43:18
406,2010-10-30,2019-04-25 10:20:31,30,2019-04-25,10:20:31
407,2007-08-09,2019-04-26 16:57:28,30,2019-04-26,16:57:28
408,2006-04-13,2019-04-26 22:10:24,30,2019-04-26,22:10:24
409,2006-03-09,2019-04-24 19:17:58,30,2019-04-24,19:17:58
410,2007-09-29,2019-04-29 15:37:38,30,2019-04-29,15:37:38
411,2007-08-05,2019-04-25 21:28:31,30,2019-04-25,21:28:31
412,2008-02-18,2019-05-06 07:36:17,30,2019-05-06,07:36:17
413,2010-01-30,2019-05-11 00:53:13,30,2019-05-11,00:53:13
414,2012-05-13,2019-04-28 08:47:59,30,2019-04-28,08:47:59
415,2009-09-12,2019-04-24 22:51:56,30,2019-04-24,22:51:56
416,2010-12-31,2019-04-27 13:04:51,30,2019-04-27,13:04:51
417,2013-04-21,2019-04-27 17:24:11,30,2019-04-27,17:24:11
418,2010-01-23,2019-05-04 01:17:17,30,2019-05-04,01:17:17
419,2006-09-20,2019-04-24 19:34:22,30,2019-04-24,19:34:22
420,2006-10-12,2019-05-03 21:54:08,30,2019-05-03,21:54:08
421,2010-03-07,2019-04-25 14:40:52,30,2019-04-25,14:40:52
422,2008-09-08,2019-05-01 11:21:49,30,2019-05-01,11:21:49
423,2011-11-08,2019-04-24 03:49:44,30,2019-04-24,03:49:44
424,2012-03-04,2019-05-14 20:59:14,30,2019-05-14,20:59:14
425,2019-02-18,2019-04-30 12:03:39,30,2019-04-30,12:03:39
426,2010-05-12,2019-04-27 16:44:03,30,2019-04-27,16:44:03
427,2011-02-27,2019-04-28 01:28:40,30,2019-04-28,01:28:40
428,2009-07-12,2019-04-24 22:48:03,30,2019-04-24,22:48:03
429,2006-04-09,2019-04-26 22:32:10,30,2019-04-26,22:32:10
430,2013-08-12,2019-04-24 23:13:10,30,2019-04-24,23:13:10
431,2008-11-14,2019-04-28 10:45:40,30,2019-04-28,10:45:40
432,2013-01-03,2019-04-25 05:36:26,30,2019-04-25,05:36:26
433,2008-08-11,2019-04-27 11:33:24,30,2019-04-27,11:33:24
434,2013-06-30,2019-05-12 20:30:08,30,2019-05-12,20:30:08
435,2018-10-09,2019-04-24 07:29:38,30,2019-04-24,07:29:38
436,2010-11-17,2019-04-24 07:14:06,30,2019-04-24,07:14:06
437,2013-03-13,2019-04-24 02:03:09,20,2019-04-24,02:03:09
438,2019-04-23,2019-04-24 00:00:05,10,2019-04-24,00:00:05
439,2011-03-18,2019-04-24 03:56:56,20,2019-04-24,03:56:56
440,2017-04-15,2019-04-24 03:50:30,10,2019-04-24,03:50:30
441,2018-10-12,2019-04-24 04:44:35,10,2019-04-24,04:44:35
442,2017-01-30,2019-04-24 01:21:14,20,2019-04-24,01:21:14
443,2017-08-30,2019-04-24 02:18:00,10,2019-04-24,02:18:00
444,2006-08-21,2019-04-24 11:22:30,10,2019-04-24,11:22:30
445,2009-08-13,2019-04-24 03:05:02,20,2019-04-24,03:05:02
446,2014-12-31,2019-04-24 08:08:36,10,2019-04-24,08:08:36
447,2011-01-30,2019-04-24 06:13:50,20,2019-04-24,06:13:50
448,2010-07-20,2019-04-24 02:55:45,10,2019-04-24,02:55:45
449,2016-02-02,2019-04-24 07:14:10,10,2019-04-24,07:14:10
450,2013-12-03,2019-04-24 22:29:57,20,2019-04-24,22:29:57
451,2018-08-18,2019-04-24 07:10:52,10,2019-04-24,07:10:52
452,2010-01-23,2019-04-24 04:22:24,10,2019-04-24,04:22:24
453,2012-11-27,2019-04-24 09:54:50,20,2019-04-24,09:54:50
454,2010-04-27,2019-04-24 07:52:05,10,2019-04-24,07:52:05
455,2006-08-16,2019-04-24 23:27:12,10,2019-04-24,23:27:12
456,2008-06-01,2019-04-24 04:03:18,20,2019-04-24,04:03:18
457,2013-09-19,2019-04-24 00:13:07,20,2019-04-24,00:13:07
458,2005-12-05,2019-04-24 23:07:42,10,2019-04-24,23:07:42
459,2010-10-18,2019-04-27 12:43:10,20,2019-04-27,12:43:10
460,2006-10-22,2019-04-25 20:28:01,20,2019-04-25,20:28:01
461,2012-07-18,2019-04-24 07:32:43,10,2019-04-24,07:32:43
462,2018-12-28,2019-04-24 07:54:53,10,2019-04-24,07:54:53
463,2019-02-25,2019-04-24 09:05:55,20,2019-04-24,09:05:55
464,2011-05-21,2019-04-24 17:19:38,20,2019-04-24,17:19:38
465,2008-06-09,2019-04-24 17:55:54,20,2019-04-24,17:55:54
466,2006-07-06,2019-04-24 15:40:54,10,2019-04-24,15:40:54
467,2016-07-18,2019-04-24 10:48:00,20,2019-04-24,10:48:00
468,2018-11-03,2019-04-24 08:10:39,20,2019-04-24,08:10:39
469,2011-04-26,2019-04-25 15:40:17,30,2019-04-25,15:40:17
470,2006-09-11,2019-04-27 20:34:31,20,2019-04-27,20:34:31
471,2010-05-19,2019-04-24 07:19:49,20,2019-04-24,07:19:49
472,2015-07-06,2019-04-24 07:24:27,20,2019-04-24,07:24:27
473,2016-06-12,2019-04-24 10:20:02,10,2019-04-24,10:20:02
474,2015-10-25,2019-04-25 23:14:18,20,2019-04-25,23:14:18
475,2010-09-18,2019-04-24 10:24:36,10,2019-04-24,10:24:36
476,2009-02-09,2019-04-28 23:27:27,10,2019-04-28,23:27:27
477,2017-09-09,2019-04-24 21:33:07,20,2019-04-24,21:33:07
478,2008-05-25,2019-05-05 10:47:49,20,2019-05-05,10:47:49
479,2016-11-07,2019-04-24 18:14:11,20,2019-04-24,18:14:11
480,2013-07-01,2019-04-24 11:25:01,20,2019-04-24,11:25:01
481,2016-05-23,2019-05-01 22:40:28,20,2019-05-01,22:40:28
482,2008-10-25,2019-05-01 12:02:51,10,2019-05-01,12:02:51
483,2008-06-24,2019-04-24 16:56:25,20,2019-04-24,16:56:25
484,2007-04-25,2019-04-25 01:17:12,10,2019-04-25,01:17:12
485,2009-07-09,2019-04-29 22:41:02,10,2019-04-29,22:41:02
486,2014-11-09,2019-04-25 14:05:42,10,2019-04-25,14:05:42
487,2008-12-07,2019-04-27 16:11:06,20,2019-04-27,16:11:06
488,2013-01-05,2019-05-13 22:47:16,20,2019-05-13,22:47:16
489,2010-10-28,2019-04-24 23:47:00,20,2019-04-24,23:47:00
490,2006-02-09,2019-04-25 04:03:33,20,2019-04-25,04:03:33
491,2009-04-11,2019-04-26 17:00:27,10,2019-04-26,17:00:27
492,2010-12-29,2019-04-24 16:10:50,10,2019-04-24,16:10:50
493,2016-12-06,2019-04-26 17:23:07,20,2019-04-26,17:23:07
494,2010-03-27,2019-04-26 17:44:33,10,2019-04-26,17:44:33
495,2012-03-09,2019-04-28 07:12:20,20,2019-04-28,07:12:20
496,2017-12-25,2019-04-24 07:46:47,20,2019-04-24,07:46:47
497,2009-07-30,2019-04-24 13:56:35,20,2019-04-24,13:56:35
498,2007-05-23,2019-04-29 19:42:36,20,2019-04-29,19:42:36
499,2010-12-04,2019-04-29 00:58:10,20,2019-04-29,00:58:10
500,2010-09-10,2019-04-27 03:20:18,20,2019-04-27,03:20:18
501,2005-10-20,2019-05-06 16:36:38,20,2019-05-06,16:36:38
502,2013-11-04,2019-04-24 16:50:34,20,2019-04-24,16:50:34
503,2007-01-14,2019-04-24 17:55:53,10,2019-04-24,17:55:53
504,2016-11-27,2019-04-26 18:51:43,10,2019-04-26,18:51:43
505,2006-10-19,2019-04-27 17:00:23,20,2019-04-27,17:00:23
506,2011-12-10,2019-04-27 20:17:28,20,2019-04-27,20:17:28
507,2010-06-03,2019-04-26 23:16:51,10,2019-04-26,23:16:51
508,2017-02-23,2019-04-25 14:40:00,20,2019-04-25,14:40:00
509,2016-08-11,2019-04-25 16:59:52,10,2019-04-25,16:59:52
510,2018-09-18,2019-05-07 06:30:20,20,2019-05-07,06:30:20
511,2009-06-02,2019-04-25 18:12:02,20,2019-04-25,18:12:02
512,2018-11-18,2019-04-24 04:37:45,20,2019-04-24,04:37:45
513,2014-05-16,2019-04-29 17:35:45,20,2019-04-29,17:35:45
514,2006-05-22,2019-04-27 16:29:55,10,2019-04-27,16:29:55
515,2009-11-30,2019-04-24 12:48:45,20,2019-04-24,12:48:45
516,2017-04-24,2019-04-24 08:58:44,20,2019-04-24,08:58:44
517,2018-10-05,2019-04-26 10:49:35,10,2019-04-26,10:49:35
518,2016-09-28,2019-04-27 21:07:32,10,2019-04-27,21:07:32
519,2010-07-27,2019-04-26 07:51:33,10,2019-04-26,07:51:33
520,2013-05-07,2019-05-01 19:06:23,10,2019-05-01,19:06:23
521,2010-02-27,2019-05-09 13:05:42,20,2019-05-09,13:05:42
522,2018-07-27,2019-04-24 14:41:15,10,2019-04-24,14:41:15
523,2011-04-23,2019-04-26 14:30:11,20,2019-04-26,14:30:11
524,2008-01-14,2019-04-25 01:22:22,10,2019-04-25,01:22:22
525,2018-08-16,2019-04-26 10:38:50,20,2019-04-26,10:38:50
526,2008-08-11,2019-04-26 18:37:00,10,2019-04-26,18:37:00
527,2009-06-23,2019-04-24 23:31:05,10,2019-04-24,23:31:05
528,2011-08-05,2019-04-24 13:24:27,20,2019-04-24,13:24:27
529,2015-12-06,2019-04-24 09:29:54,20,2019-04-24,09:29:54
530,2012-03-28,2019-04-24 03:18:38,10,2019-04-24,03:18:38
531,2015-11-21,2019-04-29 01:21:02,10,2019-04-29,01:21:02
532,2018-06-20,2019-04-25 01:16:08,20,2019-04-25,01:16:08
533,2016-02-09,2019-04-26 10:38:56,20,2019-04-26,10:38:56
534,2006-12-10,2019-05-03 22:13:32,20,2019-05-03,22:13:32
535,2008-10-23,2019-04-24 17:49:43,20,2019-04-24,17:49:43
536,2008-01-25,2019-04-26 13:04:28,20,2019-04-26,13:04:28
537,2017-11-23,2019-04-25 00:37:09,20,2019-04-25,00:37:09
538,2014-06-06,2019-04-25 09:37:10,20,2019-04-25,09:37:10
539,2017-08-14,2019-05-05 19:56:08,10,2019-05-05,19:56:08
540,2013-02-26,2019-04-28 01:44:48,10,2019-04-28,01:44:48
541,2011-11-10,2019-05-02 06:14:44,20,2019-05-02,06:14:44
542,2019-04-24,2019-04-24 00:39:55,10,2019-04-24,00:39:55
543,2010-09-26,2019-04-27 23:58:40,10,2019-04-27,23:58:40
544,2016-11-01,2019-04-28 02:05:48,20,2019-04-28,02:05:48
545,2013-06-13,2019-04-28 22:10:24,20,2019-04-28,22:10:24
546,2012-10-20,2019-04-24 22:37:11,20,2019-04-24,22:37:11
547,2007-10-18,2019-05-04 15:19:49,10,2019-05-04,15:19:49
548,2012-02-22,2019-04-26 18:48:57,20,2019-04-26,18:48:57
549,2011-06-18,2019-04-27 21:02:33,10,2019-04-27,21:02:33
550,2010-03-06,2019-05-01 21:51:58,20,2019-05-01,21:51:58
551,2010-08-08,2019-04-26 14:41:08,20,2019-04-26,14:41:08
552,2012-01-10,2019-04-27 16:36:30,20,2019-04-27,16:36:30
553,2019-02-12,2019-04-24 12:57:48,10,2019-04-24,12:57:48
554,2009-07-08,2019-04-28 02:40:36,20,2019-04-28,02:40:36
555,2011-04-03,2019-05-03 00:39:43,20,2019-05-03,00:39:43
556,2009-12-31,2019-04-26 10:48:40,10,2019-04-26,10:48:40
557,2009-08-27,2019-05-12 12:22:21,20,2019-05-12,12:22:21
558,2009-10-30,2019-05-11 10:08:11,10,2019-05-11,10:08:11
559,2013-05-04,2019-04-29 01:01:54,20,2019-04-29,01:01:54
560,2007-11-27,2019-04-25 20:24:59,10,2019-04-25,20:24:59
561,2011-02-06,2019-04-24 09:14:52,20,2019-04-24,09:14:52
562,2011-06-03,2019-04-24 15:32:47,10,2019-04-24,15:32:47
563,2011-07-28,2019-04-26 10:26:36,20,2019-04-26,10:26:36
564,2009-10-18,2019-05-08 02:30:51,20,2019-05-08,02:30:51
565,2007-02-15,2019-04-25 08:05:19,10,2019-04-25,08:05:19
566,2019-02-21,2019-04-26 11:44:19,10,2019-04-26,11:44:19
567,2006-09-18,2019-04-29 23:38:37,20,2019-04-29,23:38:37
568,2005-09-20,2019-05-04 15:46:21,20,2019-05-04,15:46:21
569,2010-06-17,2019-05-04 21:51:11,10,2019-05-04,21:51:11
570,2018-02-24,2019-04-24 19:56:20,20,2019-04-24,19:56:20
571,2015-03-11,2019-04-26 02:01:54,10,2019-04-26,02:01:54
572,2007-08-13,2019-04-25 22:36:32,20,2019-04-25,22:36:32
573,2014-03-31,2019-04-26 10:26:57,10,2019-04-26,10:26:57
574,2011-03-25,2019-04-25 19:05:12,10,2019-04-25,19:05:12
575,2011-06-13,2019-04-26 09:55:21,20,2019-04-26,09:55:21
576,2009-08-08,2019-05-04 07:21:16,10,2019-05-04,07:21:16
577,2008-12-14,2019-04-30 05:26:50,20,2019-04-30,05:26:50
578,2011-03-13,2019-06-30 19:42:03,20,2019-06-30,19:42:03
579,2018-10-09,2019-04-25 09:05:22,20,2019-04-25,09:05:22
580,2012-08-30,2019-04-30 20:17:26,20,2019-04-30,20:17:26
581,2012-01-19,2019-04-26 12:57:00,10,2019-04-26,12:57:00
582,2016-02-10,2019-04-24 21:59:24,20,2019-04-24,21:59:24
583,2011-02-13,2019-05-03 18:45:11,20,2019-05-03,18:45:11
584,2015-01-17,2019-04-25 02:37:20,20,2019-04-25,02:37:20
585,2007-11-25,2019-04-27 09:23:11,20,2019-04-27,09:23:11
586,2010-12-19,2019-04-30 17:39:32,20,2019-04-30,17:39:32
587,2006-09-22,2019-05-16 01:41:24,10,2019-05-16,01:41:24
588,2011-01-28,2019-04-25 17:10:10,10,2019-04-25,17:10:10
589,2005-10-09,2019-05-20 04:52:44,10,2019-05-20,04:52:44
590,2010-04-04,2019-05-10 15:45:24,20,2019-05-10,15:45:24
591,2009-12-06,2019-04-27 00:33:18,10,2019-04-27,00:33:18
592,2010-11-26,2019-04-27 03:54:03,20,2019-04-27,03:54:03
593,2015-07-11,2019-04-28 22:23:10,10,2019-04-28,22:23:10
594,2013-08-12,2019-04-26 11:30:35,20,2019-04-26,11:30:35
595,2018-10-11,2019-04-27 11:31:46,10,2019-04-27,11:31:46
596,2011-05-31,2019-04-26 09:21:43,20,2019-04-26,09:21:43
597,2011-03-15,2019-04-24 23:16:50,10,2019-04-24,23:16:50
598,2009-08-19,2019-04-24 23:14:08,20,2019-04-24,23:14:08
599,2015-04-14,2019-05-05 13:02:38,20,2019-05-05,13:02:38
600,2013-01-04,2019-05-01 18:49:43,10,2019-05-01,18:49:43
601,2014-10-31,2019-06-24 14:42:22,20,2019-06-24,14:42:22
602,2006-03-11,2019-04-24 23:54:42,10,2019-04-24,23:54:42
603,2017-02-04,2019-04-25 11:35:33,20,2019-04-25,11:35:33
604,2008-10-11,2019-04-27 06:02:30,20,2019-04-27,06:02:30
605,2012-01-06,2019-05-13 11:13:43,20,2019-05-13,11:13:43
606,2013-05-18,2019-05-04 09:44:46,10,2019-05-04,09:44:46
607,2006-10-13,2019-05-13 20:06:21,20,2019-05-13,20:06:21
608,2015-09-25,2019-04-25 23:45:04,20,2019-04-25,23:45:04
609,2017-08-19,2019-06-20 09:30:08,10,2019-06-20,09:30:08
610,2018-08-22,2019-04-24 10:08:25,20,2019-04-24,10:08:25
611,2016-06-08,2019-04-26 14:00:46,10,2019-04-26,14:00:46
612,2008-06-05,2019-04-30 23:40:01,20,2019-04-30,23:40:01
613,2016-05-08,2019-05-03 18:56:52,20,2019-05-03,18:56:52
614,2011-04-04,2019-04-27 17:39:18,20,2019-04-27,17:39:18
615,2009-12-09,2019-04-24 02:49:18,10,2019-04-24,02:49:18
616,2010-12-06,2019-04-24 02:58:32,20,2019-04-24,02:58:32
617,2010-12-18,2019-05-07 08:38:54,20,2019-05-07,08:38:54
618,2018-08-29,2019-04-25 23:16:13,10,2019-04-25,23:16:13
619,2013-10-07,2019-04-27 00:32:24,20,2019-04-27,00:32:24
620,2012-08-11,2019-04-25 13:58:02,20,2019-04-25,13:58:02
621,2009-09-30,2019-04-28 09:36:39,20,2019-04-28,09:36:39
622,2007-10-03,2019-05-14 09:43:42,20,2019-05-14,09:43:42
623,2012-10-05,2019-04-24 11:00:15,20,2019-04-24,11:00:15
624,2005-08-01,2019-04-28 01:07:28,20,2019-04-28,01:07:28
625,2011-07-13,2019-04-29 15:05:05,20,2019-04-29,15:05:05
626,2009-02-21,2019-04-28 00:24:00,20,2019-04-28,00:24:00
627,2011-05-03,2019-04-26 12:33:15,20,2019-04-26,12:33:15
628,2007-11-15,2019-04-30 01:13:25,20,2019-04-30,01:13:25
629,2016-07-19,2019-04-29 13:25:29,10,2019-04-29,13:25:29
630,2010-06-04,2019-04-27 05:41:28,10,2019-04-27,05:41:28
631,2017-12-07,2019-04-26 22:18:55,20,2019-04-26,22:18:55
632,2012-11-19,2019-04-25 14:13:51,20,2019-04-25,14:13:51
633,2009-11-19,2019-05-14 10:04:30,20,2019-05-14,10:04:30
634,2011-02-05,2019-04-30 23:39:39,10,2019-04-30,23:39:39
635,2008-02-15,2019-04-25 16:39:12,10,2019-04-25,16:39:12
636,2016-03-20,2019-04-25 10:45:00,20,2019-04-25,10:45:00
637,2006-10-24,2019-04-30 00:00:32,20,2019-04-30,00:00:32
638,2013-01-06,2019-04-28 13:01:14,20,2019-04-28,13:01:14
639,2009-10-09,2019-04-28 23:56:41,10,2019-04-28,23:56:41
640,2015-12-28,2019-04-24 08:14:18,20,2019-04-24,08:14:18
641,2015-08-09,2019-04-24 21:25:39,20,2019-04-24,21:25:39
642,2009-04-18,2019-05-04 19:59:37,20,2019-05-04,19:59:37
643,2012-05-27,2019-04-24 04:09:59,20,2019-04-24,04:09:59
644,2018-02-13,2019-04-24 09:34:34,10,2019-04-24,09:34:34
645,2017-11-19,2019-04-28 13:01:29,20,2019-04-28,13:01:29
646,2007-12-07,2019-05-08 01:18:22,20,2019-05-08,01:18:22
647,2014-10-06,2019-04-27 15:45:07,10,2019-04-27,15:45:07
648,2010-05-30,2019-04-26 11:01:54,20,2019-04-26,11:01:54
649,2010-07-19,2019-05-07 12:28:35,20,2019-05-07,12:28:35
650,2012-02-28,2019-05-08 05:25:00,20,2019-05-08,05:25:00
651,2012-09-02,2019-04-27 02:28:07,10,2019-04-27,02:28:07
652,2008-02-16,2019-04-26 13:56:17,20,2019-04-26,13:56:17
653,2009-12-15,2019-04-24 16:12:10,20,2019-04-24,16:12:10
654,2011-08-28,2019-04-29 10:37:49,20,2019-04-29,10:37:49
655,2010-11-21,2019-04-27 17:58:13,20,2019-04-27,17:58:13
656,2008-09-29,2019-05-11 03:07:49,20,2019-05-11,03:07:49
657,2015-06-21,2019-04-24 06:29:14,20,2019-04-24,06:29:14
658,2017-04-21,2019-05-08 08:14:49,20,2019-05-08,08:14:49
659,2018-09-26,2019-05-08 05:17:11,20,2019-05-08,05:17:11
660,2012-03-09,2019-05-12 13:33:23,20,2019-05-12,13:33:23
661,2007-12-22,2019-05-06 22:28:53,20,2019-05-06,22:28:53
662,2010-05-16,2019-04-27 09:57:56,20,2019-04-27,09:57:56
663,2009-07-18,2019-05-01 12:07:20,10,2019-05-01,12:07:20
664,2012-04-06,2019-05-12 19:00:41,20,2019-05-12,19:00:41
665,2012-12-29,2019-04-24 22:39:18,20,2019-04-24,22:39:18
666,2008-12-13,2019-05-02 16:58:44,20,2019-05-02,16:58:44
667,2010-02-12,2019-04-27 00:41:03,20,2019-04-27,00:41:03
668,2010-05-08,2019-05-05 12:15:16,20,2019-05-05,12:15:16
669,2014-01-08,2019-05-01 18:39:10,10,2019-05-01,18:39:10
670,2010-12-17,2019-04-27 00:38:55,20,2019-04-27,00:38:55
671,2011-01-18,2019-05-01 00:19:47,10,2019-05-01,00:19:47
672,2010-10-30,2019-04-26 21:08:25,10,2019-04-26,21:08:25
673,2006-10-07,2019-04-26 08:35:17,20,2019-04-26,08:35:17
674,2005-12-01,2019-04-25 23:35:01,20,2019-04-25,23:35:01
675,2007-10-06,2019-04-27 17:50:46,20,2019-04-27,17:50:46
676,2017-02-01,2019-04-26 21:17:53,10,2019-04-26,21:17:53
