,jointime,outtime,scores,one,two
86,2012-07-10,2019-04-24 04:05:00,50,2019-04-24,04:05:00
87,2010-08-29,2019-04-24 00:43:00,50,2019-04-24,00:43:00
88,2006-10-06,2019-04-27 12:18:00,50,2019-04-27,12:18:00
89,2011-01-29,2019-04-24 23:48:00,40,2019-04-24,23:48:00
90,2018-10-07,2019-04-24 08:16:00,50,2019-04-24,08:16:00
91,2014-11-18,2019-04-24 00:02:00,40,2019-04-24,00:02:00
92,2010-07-08,2019-04-28 13:49:00,50,2019-04-28,13:49:00
93,2005-11-03,2019-04-24 22:41:00,50,2019-04-24,22:41:00
94,2016-12-27,2019-05-03 15:27:00,40,2019-05-03,15:27:00
95,2012-02-25,2019-04-24 05:35:00,50,2019-04-24,05:35:00
96,2009-08-23,2019-04-24 03:18:00,50,2019-04-24,03:18:00
97,2014-07-17,2019-04-24 19:51:00,40,2019-04-24,19:51:00
98,2009-04-23,2019-04-24 03:02:00,50,2019-04-24,03:02:00
99,2011-01-17,2019-04-24 18:18:00,50,2019-04-24,18:18:00
100,2012-02-02,2019-04-24 12:36:00,50,2019-04-24,12:36:00
101,2011-08-01,2019-04-24 00:46:00,50,2019-04-24,00:46:00
102,2008-01-28,2019-04-25 22:50:00,40,2019-04-25,22:50:00
103,2011-07-24,2019-04-24 03:00:00,50,2019-04-24,03:00:00
104,2007-12-30,2019-04-25 00:22:00,50,2019-04-25,00:22:00
105,2016-09-28,2019-04-24 19:02:00,50,2019-04-24,19:02:00
106,2012-06-18,2019-04-24 03:28:00,50,2019-04-24,03:28:00
107,2009-08-07,2019-04-27 19:57:00,50,2019-04-27,19:57:00
108,2015-03-06,2019-04-24 06:31:00,50,2019-04-24,06:31:00
109,2007-07-06,2019-04-24 06:58:00,50,2019-04-24,06:58:00
110,2010-04-13,2019-04-24 22:44:00,50,2019-04-24,22:44:00
111,2017-03-14,2019-04-24 03:58:00,50,2019-04-24,03:58:00
112,2005-11-13,2019-04-24 20:05:00,50,2019-04-24,20:05:00
113,2007-01-25,2019-04-24 15:09:00,40,2019-04-24,15:09:00
114,2017-07-17,2019-04-24 20:28:00,40,2019-04-24,20:28:00
115,2006-10-20,2019-04-24 12:45:00,50,2019-04-24,12:45:00
116,2007-12-05,2019-04-27 10:49:00,40,2019-04-27,10:49:00
117,2009-06-25,2019-04-24 05:37:00,50,2019-04-24,05:37:00
118,2010-07-21,2019-04-26 01:33:00,40,2019-04-26,01:33:00
119,2006-04-13,2019-04-24 16:08:00,40,2019-04-24,16:08:00
120,2016-08-03,2019-04-24 15:42:00,50,2019-04-24,15:42:00
121,2005-07-11,2019-04-26 12:38:00,40,2019-04-26,12:38:00
122,2011-03-01,2019-04-24 22:14:00,50,2019-04-24,22:14:00
123,2010-11-06,2019-04-27 17:20:00,50,2019-04-27,17:20:00
124,2009-05-28,2019-04-24 08:37:00,40,2019-04-24,08:37:00
125,2011-06-19,2019-04-24 22:47:00,50,2019-04-24,22:47:00
126,2010-06-15,2019-04-24 04:27:00,40,2019-04-24,04:27:00
127,2009-02-25,2019-04-24 03:00:00,50,2019-04-24,03:00:00
128,2008-06-12,2019-04-25 00:49:00,40,2019-04-25,00:49:00
129,2014-06-29,2019-04-24 01:04:00,50,2019-04-24,01:04:00
130,2007-01-20,2019-04-24 02:56:00,50,2019-04-24,02:56:00
131,2007-06-17,2019-04-24 14:49:00,40,2019-04-24,14:49:00
132,2011-07-31,2019-05-01 04:18:00,50,2019-05-01,04:18:00
133,2010-10-26,2019-04-24 15:53:00,50,2019-04-24,15:53:00
134,2006-08-22,2019-04-24 15:24:00,40,2019-04-24,15:24:00
135,2010-12-15,2019-04-25 01:49:00,50,2019-04-25,01:49:00
136,2009-09-16,2019-04-27 02:14:00,50,2019-04-27,02:14:00
137,2011-08-18,2019-04-24 03:27:00,40,2019-04-24,03:27:00
138,2014-12-18,2019-04-24 02:55:00,40,2019-04-24,02:55:00
139,2008-08-11,2019-04-24 12:15:00,40,2019-04-24,12:15:00
140,2007-02-28,2019-04-25 01:18:00,50,2019-04-25,01:18:00
141,2011-08-08,2019-04-24 03:22:00,50,2019-04-24,03:22:00
142,2007-11-18,2019-04-24 03:01:00,40,2019-04-24,03:01:00
143,2017-12-31,2019-04-25 18:07:00,50,2019-04-25,18:07:00
144,2016-07-21,2019-04-24 03:36:00,50,2019-04-24,03:36:00
145,2006-01-15,2019-04-24 23:00:00,50,2019-04-24,23:00:00
146,2015-05-27,2019-05-01 07:55:00,50,2019-05-01,07:55:00
147,2007-06-11,2019-05-05 00:21:00,50,2019-05-05,00:21:00
148,2006-11-12,2019-04-26 00:25:00,50,2019-04-26,00:25:00
149,2011-03-07,2019-04-24 10:55:00,50,2019-04-24,10:55:00
150,2013-01-05,2019-04-27 23:14:00,50,2019-04-27,23:14:00
151,2008-03-09,2019-04-25 13:32:00,50,2019-04-25,13:32:00
